comprimento
19.2
19.6
17.3
19.3
19.5
20.4
19
23.5
19.4
19.6
20.7
18.9
18.1
17
22.7
18.4
21.5
20.3
20.4
20.5
19.7
18.5
19.4
20.2
20.8
20.2
18.3
20.7
20.1
21.8
20.1
19.8
21.5
19.5
21.1
18.6
20.4
20.3
19.4
19.9
18.3
20.6
19.8
22.9
19.8
20.9
21.9
18.6
21.4
19.5
19.5
19.5
18.2
19.4
21
19.7
19.3
21.7
19
16.6
